S_capitalis_28326	cap_28326
S_capitalis_28338	cap_28338
S_capitalis_28339	cap_28339
S_capitalis_28341	cap_28341
S_capitalis_28342	cap_28342
S_capitalis_29959	cap_29959
S_capitalis_29965	cap_29965
S_capitalis_29968	cap_29968
S_capitalis_CMNH37769	cap_37769
S_dennistouni_19648	den_19648
S_dennistouni_19656	den_19656
S_dennistouni_20186	den_20186
S_dennistouni_20187	den_20187
S_dennistouni_20188	den_20188
S_dennistouni_20191	den_20191
S_dennistouni_20201	den_20201
S_dennistouni_20222	den_20222
S_dennistouni_20224	den_20224
S_dennistouni_20225	den_20225
S_dennistouni_20229	den_20229
S_dennistouni_20335	den_20335
S_dennistouni_21084	den_21084
S_dennistouni_21112	den_21112
S_dennistouni_25696	den_25696
S_dennistouni_25702	den_25702
S_dennistouni_25703	den_25703
S_dennistouni_25716	den_25716
S_dennistouni_25743	den_25743
S_dennistouni_25817	den_25817
S_dennistouni_25828	den_25828
S_dennistouni_25846	den_25846
S_dennistouni_25885	den_25885
S_dennistouni_25898	den_25898
S_dennistouni_25903	den_25903
S_dennistouni_25908	den_25908
S_dennistouni_25939	den_25939
S_dennistouni_26573	den_26573
S_dennistouni_26579	den_26579
S_dennistouni_26961	den_26961
S_nigrocapitata_14192	ni_14192
S_nigrocapitata_14199	ni_14199
S_nigrocapitata_18034	aff_18034
S_nigrocapitata_18040	aff_18040
S_nigrocapitata_18083	aff_18083
S_nigrocapitata_25550	aff_25550
S_nigrocapitata_33030	ni_33030
S_nigrocapitata_33060	ni_33060
S_plateni_19056	pla_19056
S_plateni_28305	pla_28305
S_plateni_28350	pla_28350
