# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
cap_28326	54	1.00000	0.00000	0.00000	0.97028	0.01398	0.00085	0.05945	0.05592	0.00170	0.94055	0.05592	0.00170	0.02972	0.01398	0.00085	0.97028	0.01398	0.00085	0.05945	0.05592	0.00170	0.00000	0.00000	0.00000
cap_28338	45	1.00000	0.00000	0.00000	0.96603	0.01583	0.00089	0.06793	0.06332	0.00179	0.93207	0.06332	0.00179	0.03397	0.01583	0.00089	0.96603	0.01583	0.00089	0.06793	0.06332	0.00179	0.00000	0.00000	0.00000
cap_28339	32	1.00000	0.00000	0.00000	0.96321	0.01704	0.00093	0.07359	0.06817	0.00186	0.92641	0.06817	0.00186	0.03679	0.01704	0.00093	0.96321	0.01704	0.00093	0.07359	0.06817	0.00186	0.00000	0.00000	0.00000
cap_28341	77	1.00000	0.00000	0.00000	0.97080	0.01375	0.00090	0.05841	0.05500	0.00179	0.94159	0.05500	0.00179	0.02920	0.01375	0.00090	0.97080	0.01375	0.00090	0.05841	0.05500	0.00179	0.00000	0.00000	0.00000
cap_28342	45	1.00000	0.00000	0.00000	0.96654	0.01561	0.00091	0.06693	0.06245	0.00181	0.93307	0.06245	0.00181	0.03346	0.01561	0.00091	0.96654	0.01561	0.00091	0.06693	0.06245	0.00181	0.00000	0.00000	0.00000
cap_29959	318	1.00000	0.00000	0.00000	0.96821	0.01489	0.00088	0.06358	0.05954	0.00176	0.93642	0.05954	0.00176	0.03179	0.01489	0.00088	0.96821	0.01489	0.00088	0.06358	0.05954	0.00176	0.00000	0.00000	0.00000
cap_29965	309	1.00000	0.00000	0.00000	0.97236	0.01306	0.00088	0.05528	0.05223	0.00177	0.94472	0.05223	0.00177	0.02764	0.01306	0.00088	0.97236	0.01306	0.00088	0.05528	0.05223	0.00177	0.00000	0.00000	0.00000
cap_29968	382	1.00000	0.00000	0.00000	0.96330	0.01700	0.00093	0.07339	0.06801	0.00185	0.92661	0.06801	0.00185	0.03670	0.01700	0.00093	0.96330	0.01700	0.00093	0.07339	0.06801	0.00185	0.00000	0.00000	0.00000
cap_37769	528	1.00000	0.00000	0.00000	0.96692	0.01544	0.00088	0.06615	0.06178	0.00177	0.93385	0.06178	0.00177	0.03308	0.01544	0.00088	0.96692	0.01544	0.00088	0.06615	0.06178	0.00177	0.00000	0.00000	0.00000
den_19648	36	1.00000	0.00000	0.00000	0.98044	0.00940	0.00082	0.03912	0.03759	0.00164	0.96088	0.03759	0.00164	0.01956	0.00940	0.00082	0.98044	0.00940	0.00082	0.03912	0.03759	0.00164	0.00000	0.00000	0.00000
den_19656	78	1.00000	0.00000	0.00000	0.97077	0.01376	0.00083	0.05847	0.05505	0.00166	0.94153	0.05505	0.00166	0.02923	0.01376	0.00083	0.97077	0.01376	0.00083	0.05847	0.05505	0.00166	0.00000	0.00000	0.00000
den_20186	47	1.00000	0.00000	0.00000	0.97327	0.01265	0.00080	0.05347	0.05061	0.00160	0.94653	0.05061	0.00160	0.02673	0.01265	0.00080	0.97327	0.01265	0.00080	0.05347	0.05061	0.00160	0.00000	0.00000	0.00000
den_20187	91	1.00000	0.00000	0.00000	0.97078	0.01376	0.00083	0.05844	0.05503	0.00166	0.94156	0.05503	0.00166	0.02922	0.01376	0.00083	0.97078	0.01376	0.00083	0.05844	0.05503	0.00166	0.00000	0.00000	0.00000
den_20188	34	1.00000	0.00000	0.00000	0.97178	0.01332	0.00082	0.05645	0.05326	0.00163	0.94355	0.05326	0.00163	0.02822	0.01332	0.00082	0.97178	0.01332	0.00082	0.05645	0.05326	0.00163	0.00000	0.00000	0.00000
den_20191	53	1.00000	0.00000	0.00000	0.97229	0.01309	0.00081	0.05542	0.05235	0.00162	0.94458	0.05235	0.00162	0.02771	0.01309	0.00081	0.97229	0.01309	0.00081	0.05542	0.05235	0.00162	0.00000	0.00000	0.00000
den_20201	23	1.00000	0.00000	0.00000	0.98834	0.00569	0.00091	0.02332	0.02278	0.00181	0.97668	0.02278	0.00181	0.01166	0.00569	0.00091	0.98834	0.00569	0.00091	0.02332	0.02278	0.00181	0.00000	0.00000	0.00000
den_20222	48	1.00000	0.00000	0.00000	0.96922	0.01444	0.00085	0.06156	0.05778	0.00170	0.93844	0.05778	0.00170	0.03078	0.01444	0.00085	0.96922	0.01444	0.00085	0.06156	0.05778	0.00170	0.00000	0.00000	0.00000
den_20224	18	1.00000	0.00000	0.00000	0.97105	0.01364	0.00082	0.05791	0.05456	0.00165	0.94209	0.05456	0.00165	0.02895	0.01364	0.00082	0.97105	0.01364	0.00082	0.05791	0.05456	0.00165	0.00000	0.00000	0.00000
den_20225	24	1.00000	0.00000	0.00000	0.98880	0.00548	0.00081	0.02241	0.02191	0.00162	0.97759	0.02191	0.00162	0.01120	0.00548	0.00081	0.98880	0.00548	0.00081	0.02241	0.02191	0.00162	0.00000	0.00000	0.00000
den_20229	35	1.00000	0.00000	0.00000	0.97540	0.01169	0.00078	0.04920	0.04678	0.00155	0.95080	0.04678	0.00155	0.02460	0.01169	0.00078	0.97540	0.01169	0.00078	0.04920	0.04678	0.00155	0.00000	0.00000	0.00000
den_20335	27	1.00000	0.00000	0.00000	0.98565	0.00697	0.00083	0.02870	0.02788	0.00166	0.97130	0.02788	0.00166	0.01435	0.00697	0.00083	0.98565	0.00697	0.00083	0.02870	0.02788	0.00166	0.00000	0.00000	0.00000
den_21084	109	1.00000	0.00000	0.00000	0.97511	0.01183	0.00077	0.04978	0.04731	0.00155	0.95022	0.04731	0.00155	0.02489	0.01183	0.00077	0.97511	0.01183	0.00077	0.04978	0.04731	0.00155	0.00000	0.00000	0.00000
den_21112	94	1.00000	0.00000	0.00000	0.97754	0.01073	0.00073	0.04492	0.04291	0.00147	0.95508	0.04291	0.00147	0.02246	0.01073	0.00073	0.97754	0.01073	0.00073	0.04492	0.04291	0.00147	0.00000	0.00000	0.00000
den_25696	42	1.00000	0.00000	0.00000	0.97547	0.01166	0.00077	0.04906	0.04665	0.00154	0.95094	0.04665	0.00154	0.02453	0.01166	0.00077	0.97547	0.01166	0.00077	0.04906	0.04665	0.00154	0.00000	0.00000	0.00000
den_25702	40	1.00000	0.00000	0.00000	0.97547	0.01166	0.00076	0.04905	0.04665	0.00153	0.95095	0.04665	0.00153	0.02453	0.01166	0.00076	0.97547	0.01166	0.00076	0.04905	0.04665	0.00153	0.00000	0.00000	0.00000
den_25703	46	1.00000	0.00000	0.00000	0.97453	0.01209	0.00078	0.05095	0.04835	0.00156	0.94905	0.04835	0.00156	0.02547	0.01209	0.00078	0.97453	0.01209	0.00078	0.05095	0.04835	0.00156	0.00000	0.00000	0.00000
den_25716	88	1.00000	0.00000	0.00000	0.97928	0.00993	0.00072	0.04145	0.03973	0.00144	0.95855	0.03973	0.00144	0.02072	0.00993	0.00072	0.97928	0.00993	0.00072	0.04145	0.03973	0.00144	0.00000	0.00000	0.00000
den_25743	35	1.00000	0.00000	0.00000	0.98519	0.00719	0.00080	0.02962	0.02875	0.00159	0.97038	0.02875	0.00159	0.01481	0.00719	0.00080	0.98519	0.00719	0.00080	0.02962	0.02875	0.00159	0.00000	0.00000	0.00000
den_25817	126	1.00000	0.00000	0.00000	0.97334	0.01262	0.00080	0.05332	0.05048	0.00160	0.94668	0.05048	0.00160	0.02666	0.01262	0.00080	0.97334	0.01262	0.00080	0.05332	0.05048	0.00160	0.00000	0.00000	0.00000
den_25828	56	1.00000	0.00000	0.00000	0.98275	0.00833	0.00080	0.03449	0.03330	0.00160	0.96551	0.03330	0.00160	0.01725	0.00833	0.00080	0.98275	0.00833	0.00080	0.03449	0.03330	0.00160	0.00000	0.00000	0.00000
den_25846	22	1.00000	0.00000	0.00000	0.98798	0.00587	0.00089	0.02404	0.02346	0.00179	0.97596	0.02346	0.00179	0.01202	0.00587	0.00089	0.98798	0.00587	0.00089	0.02404	0.02346	0.00179	0.00000	0.00000	0.00000
den_25885	76	1.00000	0.00000	0.00000	0.97887	0.01012	0.00074	0.04227	0.04048	0.00148	0.95773	0.04048	0.00148	0.02113	0.01012	0.00074	0.97887	0.01012	0.00074	0.04227	0.04048	0.00148	0.00000	0.00000	0.00000
den_25898	67	1.00000	0.00000	0.00000	0.98122	0.00904	0.00073	0.03756	0.03615	0.00146	0.96244	0.03615	0.00146	0.01878	0.00904	0.00073	0.98122	0.00904	0.00073	0.03756	0.03615	0.00146	0.00000	0.00000	0.00000
den_25903	111	1.00000	0.00000	0.00000	0.97518	0.01179	0.00077	0.04963	0.04717	0.00154	0.95037	0.04717	0.00154	0.02482	0.01179	0.00077	0.97518	0.01179	0.00077	0.04963	0.04717	0.00154	0.00000	0.00000	0.00000
den_25908	87	1.00000	0.00000	0.00000	0.97615	0.01136	0.00077	0.04771	0.04543	0.00154	0.95229	0.04543	0.00154	0.02385	0.01136	0.00077	0.97615	0.01136	0.00077	0.04771	0.04543	0.00154	0.00000	0.00000	0.00000
den_25939	84	1.00000	0.00000	0.00000	0.97636	0.01126	0.00076	0.04728	0.04505	0.00152	0.95272	0.04505	0.00152	0.02364	0.01126	0.00076	0.97636	0.01126	0.00076	0.04728	0.04505	0.00152	0.00000	0.00000	0.00000
den_26573	105	1.00000	0.00000	0.00000	0.97294	0.01280	0.00081	0.05412	0.05120	0.00163	0.94588	0.05120	0.00163	0.02706	0.01280	0.00081	0.97294	0.01280	0.00081	0.05412	0.05120	0.00163	0.00000	0.00000	0.00000
den_26579	98	1.00000	0.00000	0.00000	0.97161	0.01339	0.00082	0.05677	0.05355	0.00164	0.94323	0.05355	0.00164	0.02839	0.01339	0.00082	0.97161	0.01339	0.00082	0.05677	0.05355	0.00164	0.00000	0.00000	0.00000
den_26961	82	1.00000	0.00000	0.00000	0.97768	0.01066	0.00075	0.04464	0.04265	0.00150	0.95536	0.04265	0.00150	0.02232	0.01066	0.00075	0.97768	0.01066	0.00075	0.04464	0.04265	0.00150	0.00000	0.00000	0.00000
ni_14192	249	1.00000	0.00000	0.00000	0.98079	0.00924	0.00084	0.03842	0.03695	0.00169	0.96158	0.03695	0.00169	0.01921	0.00924	0.00084	0.98079	0.00924	0.00084	0.03842	0.03695	0.00169	0.00000	0.00000	0.00000
ni_14199	434	1.00000	0.00000	0.00000	0.97383	0.01240	0.00083	0.05234	0.04961	0.00165	0.94766	0.04961	0.00165	0.02617	0.01240	0.00083	0.97383	0.01240	0.00083	0.05234	0.04961	0.00165	0.00000	0.00000	0.00000
aff_18034	188	1.00000	0.00000	0.00000	0.97654	0.01118	0.00076	0.04693	0.04473	0.00152	0.95307	0.04473	0.00152	0.02346	0.01118	0.00076	0.97654	0.01118	0.00076	0.04693	0.04473	0.00152	0.00000	0.00000	0.00000
aff_18040	250	1.00000	0.00000	0.00000	0.97133	0.01351	0.00082	0.05734	0.05405	0.00164	0.94266	0.05405	0.00164	0.02867	0.01351	0.00082	0.97133	0.01351	0.00082	0.05734	0.05405	0.00164	0.00000	0.00000	0.00000
aff_18083	207	1.00000	0.00000	0.00000	0.97404	0.01231	0.00079	0.05192	0.04923	0.00158	0.94808	0.04923	0.00158	0.02596	0.01231	0.00079	0.97404	0.01231	0.00079	0.05192	0.04923	0.00158	0.00000	0.00000	0.00000
aff_25550	21	1.00000	0.00000	0.00000	0.98750	0.00609	0.00100	0.02500	0.02438	0.00200	0.97500	0.02438	0.00200	0.01250	0.00609	0.00100	0.98750	0.00609	0.00100	0.02500	0.02438	0.00200	0.00000	0.00000	0.00000
ni_33030	388	1.00000	0.00000	0.00000	0.97783	0.01060	0.00081	0.04435	0.04238	0.00162	0.95565	0.04238	0.00162	0.02217	0.01060	0.00081	0.97783	0.01060	0.00081	0.04435	0.04238	0.00162	0.00000	0.00000	0.00000
ni_33060	172	1.00000	0.00000	0.00000	0.98279	0.00831	0.00091	0.03441	0.03323	0.00183	0.96559	0.03323	0.00183	0.01721	0.00831	0.00091	0.98279	0.00831	0.00091	0.03441	0.03323	0.00183	0.00000	0.00000	0.00000
pla_19056	799	1.00000	0.00000	0.00000	0.96733	0.01527	0.00095	0.06533	0.06107	0.00191	0.93467	0.06107	0.00191	0.03267	0.01527	0.00095	0.96733	0.01527	0.00095	0.06533	0.06107	0.00191	0.00000	0.00000	0.00000
pla_28305	578	1.00000	0.00000	0.00000	0.97646	0.01122	0.00083	0.04709	0.04487	0.00165	0.95291	0.04487	0.00165	0.02354	0.01122	0.00083	0.97646	0.01122	0.00083	0.04709	0.04487	0.00165	0.00000	0.00000	0.00000
pla_28350	441	1.00000	0.00000	0.00000	0.97615	0.01135	0.00088	0.04769	0.04542	0.00176	0.95231	0.04542	0.00176	0.02385	0.01135	0.00088	0.97615	0.01135	0.00088	0.04769	0.04542	0.00176	0.00000	0.00000	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
cap_28326	54	483054	19260	1145	0.23703	1.00000	0.00000	0.00000	0.99881	0.00059	0.00003	0.00237	0.00236	0.00007	0.99763	0.00236	0.00007	0.00119	0.00059	0.00003	0.99881	0.00059	0.00003	0.00237	0.00236	0.00007	0.00000	0.00000	0.00000
cap_28338	45	495277	19769	1343	0.27116	1.00000	0.00000	0.00000	0.99864	0.00068	0.00004	0.00271	0.00270	0.00007	0.99729	0.00270	0.00007	0.00136	0.00068	0.00004	0.99864	0.00068	0.00004	0.00271	0.00270	0.00007	0.00000	0.00000	0.00000
cap_28339	32	494286	19705	1450	0.29335	1.00000	0.00000	0.00000	0.99853	0.00073	0.00004	0.00293	0.00292	0.00008	0.99707	0.00292	0.00008	0.00147	0.00073	0.00004	0.99853	0.00073	0.00004	0.00293	0.00292	0.00008	0.00000	0.00000	0.00000
cap_28341	77	430497	17156	1002	0.23275	1.00000	0.00000	0.00000	0.99884	0.00058	0.00004	0.00233	0.00232	0.00007	0.99767	0.00232	0.00007	0.00116	0.00058	0.00004	0.99884	0.00058	0.00004	0.00233	0.00232	0.00007	0.00000	0.00000	0.00000
cap_28342	45	477548	19006	1272	0.26636	1.00000	0.00000	0.00000	0.99867	0.00066	0.00004	0.00266	0.00266	0.00007	0.99734	0.00266	0.00007	0.00133	0.00066	0.00004	0.99867	0.00066	0.00004	0.00266	0.00266	0.00007	0.00000	0.00000	0.00000
cap_29959	318	480871	19188	1220	0.25371	1.00000	0.00000	0.00000	0.99873	0.00063	0.00004	0.00254	0.00253	0.00007	0.99746	0.00253	0.00007	0.00127	0.00063	0.00004	0.99873	0.00063	0.00004	0.00254	0.00253	0.00007	0.00000	0.00000	0.00000
cap_29965	309	416073	16750	926	0.22256	1.00000	0.00000	0.00000	0.99889	0.00056	0.00004	0.00223	0.00222	0.00007	0.99777	0.00222	0.00007	0.00111	0.00056	0.00004	0.99889	0.00056	0.00004	0.00223	0.00222	0.00007	0.00000	0.00000	0.00000
cap_29968	382	496574	19811	1454	0.29281	1.00000	0.00000	0.00000	0.99854	0.00073	0.00004	0.00293	0.00292	0.00008	0.99707	0.00292	0.00008	0.00146	0.00073	0.00004	0.99854	0.00073	0.00004	0.00293	0.00292	0.00008	0.00000	0.00000	0.00000
cap_37769	528	494401	19727	1305	0.26396	1.00000	0.00000	0.00000	0.99868	0.00066	0.00004	0.00264	0.00263	0.00007	0.99736	0.00263	0.00007	0.00132	0.00066	0.00004	0.99868	0.00066	0.00004	0.00264	0.00263	0.00007	0.00000	0.00000	0.00000
den_19648	36	350971	13958	546	0.15557	1.00000	0.00000	0.00000	0.99922	0.00039	0.00003	0.00156	0.00155	0.00007	0.99844	0.00155	0.00007	0.00078	0.00039	0.00003	0.99922	0.00039	0.00003	0.00156	0.00155	0.00007	0.00000	0.00000	0.00000
den_19656	78	497886	19892	1163	0.23359	1.00000	0.00000	0.00000	0.99883	0.00058	0.00003	0.00234	0.00233	0.00007	0.99766	0.00233	0.00007	0.00117	0.00058	0.00003	0.99883	0.00058	0.00003	0.00234	0.00233	0.00007	0.00000	0.00000	0.00000
den_20186	47	498998	19881	1063	0.21303	1.00000	0.00000	0.00000	0.99893	0.00053	0.00003	0.00213	0.00213	0.00007	0.99787	0.00213	0.00007	0.00107	0.00053	0.00003	0.99893	0.00053	0.00003	0.00213	0.00213	0.00007	0.00000	0.00000	0.00000
den_20187	91	502464	20019	1170	0.23285	1.00000	0.00000	0.00000	0.99884	0.00058	0.00003	0.00233	0.00232	0.00007	0.99767	0.00232	0.00007	0.00116	0.00058	0.00003	0.99884	0.00058	0.00003	0.00233	0.00232	0.00007	0.00000	0.00000	0.00000
den_20188	34	502558	20036	1131	0.22505	1.00000	0.00000	0.00000	0.99887	0.00056	0.00003	0.00225	0.00225	0.00007	0.99775	0.00225	0.00007	0.00113	0.00056	0.00003	0.99887	0.00056	0.00003	0.00225	0.00225	0.00007	0.00000	0.00000	0.00000
den_20191	53	501762	19992	1108	0.22082	1.00000	0.00000	0.00000	0.99890	0.00055	0.00003	0.00221	0.00220	0.00007	0.99779	0.00220	0.00007	0.00110	0.00055	0.00003	0.99890	0.00055	0.00003	0.00221	0.00220	0.00007	0.00000	0.00000	0.00000
den_20201	23	174094	6948	162	0.09305	1.00000	0.00000	0.00000	0.99953	0.00023	0.00004	0.00093	0.00093	0.00007	0.99907	0.00093	0.00007	0.00047	0.00023	0.00004	0.99953	0.00023	0.00004	0.00093	0.00093	0.00007	0.00000	0.00000	0.00000
den_20222	48	500818	19947	1228	0.24520	1.00000	0.00000	0.00000	0.99877	0.00061	0.00003	0.00245	0.00245	0.00007	0.99755	0.00245	0.00007	0.00123	0.00061	0.00003	0.99877	0.00061	0.00003	0.00245	0.00245	0.00007	0.00000	0.00000	0.00000
den_20224	18	502914	20049	1161	0.23085	1.00000	0.00000	0.00000	0.99885	0.00058	0.00003	0.00231	0.00230	0.00007	0.99769	0.00230	0.00007	0.00115	0.00058	0.00003	0.99885	0.00058	0.00003	0.00231	0.00230	0.00007	0.00000	0.00000	0.00000
den_20225	24	211073	8345	187	0.08859	1.00000	0.00000	0.00000	0.99956	0.00022	0.00003	0.00089	0.00089	0.00006	0.99911	0.00089	0.00006	0.00044	0.00022	0.00003	0.99956	0.00022	0.00003	0.00089	0.00089	0.00006	0.00000	0.00000	0.00000
den_20229	35	487360	19453	957	0.19636	1.00000	0.00000	0.00000	0.99902	0.00049	0.00003	0.00196	0.00196	0.00006	0.99804	0.00196	0.00006	0.00098	0.00049	0.00003	0.99902	0.00049	0.00003	0.00196	0.00196	0.00006	0.00000	0.00000	0.00000
den_20335	27	251257	10069	289	0.11502	1.00000	0.00000	0.00000	0.99942	0.00029	0.00003	0.00115	0.00115	0.00007	0.99885	0.00115	0.00007	0.00058	0.00029	0.00003	0.99942	0.00029	0.00003	0.00115	0.00115	0.00007	0.00000	0.00000	0.00000
den_21084	109	495776	19786	985	0.19868	1.00000	0.00000	0.00000	0.99901	0.00050	0.00003	0.00199	0.00198	0.00006	0.99801	0.00198	0.00006	0.00099	0.00050	0.00003	0.99901	0.00050	0.00003	0.00199	0.00198	0.00006	0.00000	0.00000	0.00000
den_21112	94	499093	19900	894	0.17912	1.00000	0.00000	0.00000	0.99910	0.00045	0.00003	0.00179	0.00179	0.00006	0.99821	0.00179	0.00006	0.00090	0.00045	0.00003	0.99910	0.00045	0.00003	0.00179	0.00179	0.00006	0.00000	0.00000	0.00000
den_25696	42	494824	19711	967	0.19542	1.00000	0.00000	0.00000	0.99902	0.00049	0.00003	0.00195	0.00195	0.00006	0.99805	0.00195	0.00006	0.00098	0.00049	0.00003	0.99902	0.00049	0.00003	0.00195	0.00195	0.00006	0.00000	0.00000	0.00000
den_25702	40	502263	20019	982	0.19552	1.00000	0.00000	0.00000	0.99902	0.00049	0.00003	0.00196	0.00195	0.00006	0.99804	0.00195	0.00006	0.00098	0.00049	0.00003	0.99902	0.00049	0.00003	0.00196	0.00195	0.00006	0.00000	0.00000	0.00000
den_25703	46	499285	19923	1015	0.20329	1.00000	0.00000	0.00000	0.99898	0.00051	0.00003	0.00203	0.00203	0.00006	0.99797	0.00203	0.00006	0.00102	0.00051	0.00003	0.99898	0.00051	0.00003	0.00203	0.00203	0.00006	0.00000	0.00000	0.00000
den_25716	88	477217	19060	790	0.16554	1.00000	0.00000	0.00000	0.99917	0.00041	0.00003	0.00166	0.00165	0.00006	0.99834	0.00165	0.00006	0.00083	0.00041	0.00003	0.99917	0.00041	0.00003	0.00166	0.00165	0.00006	0.00000	0.00000	0.00000
den_25743	35	281797	11309	335	0.11888	1.00000	0.00000	0.00000	0.99941	0.00030	0.00003	0.00119	0.00119	0.00006	0.99881	0.00119	0.00006	0.00059	0.00030	0.00003	0.99941	0.00030	0.00003	0.00119	0.00119	0.00006	0.00000	0.00000	0.00000
den_25817	126	497853	19823	1057	0.21231	1.00000	0.00000	0.00000	0.99894	0.00053	0.00003	0.00212	0.00212	0.00007	0.99788	0.00212	0.00007	0.00106	0.00053	0.00003	0.99894	0.00053	0.00003	0.00212	0.00212	0.00007	0.00000	0.00000	0.00000
den_25828	56	322458	12960	447	0.13862	1.00000	0.00000	0.00000	0.99931	0.00035	0.00003	0.00139	0.00138	0.00007	0.99861	0.00138	0.00007	0.00069	0.00035	0.00003	0.99931	0.00035	0.00003	0.00139	0.00138	0.00007	0.00000	0.00000	0.00000
den_25846	22	185767	7363	177	0.09528	1.00000	0.00000	0.00000	0.99952	0.00024	0.00004	0.00095	0.00095	0.00007	0.99905	0.00095	0.00007	0.00048	0.00024	0.00004	0.99952	0.00024	0.00004	0.00095	0.00095	0.00007	0.00000	0.00000	0.00000
den_25885	76	461044	18406	778	0.16875	1.00000	0.00000	0.00000	0.99916	0.00042	0.00003	0.00169	0.00168	0.00006	0.99831	0.00168	0.00006	0.00084	0.00042	0.00003	0.99916	0.00042	0.00003	0.00169	0.00168	0.00006	0.00000	0.00000	0.00000
den_25898	67	426103	16932	636	0.14926	1.00000	0.00000	0.00000	0.99925	0.00037	0.00003	0.00149	0.00149	0.00006	0.99851	0.00149	0.00006	0.00075	0.00037	0.00003	0.99925	0.00037	0.00003	0.00149	0.00149	0.00006	0.00000	0.00000	0.00000
den_25903	111	499580	19907	988	0.19777	1.00000	0.00000	0.00000	0.99901	0.00049	0.00003	0.00198	0.00197	0.00006	0.99802	0.00197	0.00006	0.00099	0.00049	0.00003	0.99901	0.00049	0.00003	0.00198	0.00197	0.00006	0.00000	0.00000	0.00000
den_25908	87	478476	19116	912	0.19061	1.00000	0.00000	0.00000	0.99905	0.00048	0.00003	0.00191	0.00190	0.00006	0.99809	0.00190	0.00006	0.00095	0.00048	0.00003	0.99905	0.00048	0.00003	0.00191	0.00190	0.00006	0.00000	0.00000	0.00000
den_25939	84	488883	19479	921	0.18839	1.00000	0.00000	0.00000	0.99906	0.00047	0.00003	0.00188	0.00188	0.00006	0.99812	0.00188	0.00006	0.00094	0.00047	0.00003	0.99906	0.00047	0.00003	0.00188	0.00188	0.00006	0.00000	0.00000	0.00000
den_26573	105	485086	19308	1045	0.21543	1.00000	0.00000	0.00000	0.99892	0.00054	0.00003	0.00215	0.00215	0.00007	0.99785	0.00215	0.00007	0.00108	0.00054	0.00003	0.99892	0.00054	0.00003	0.00215	0.00215	0.00007	0.00000	0.00000	0.00000
den_26579	98	496533	19852	1127	0.22697	1.00000	0.00000	0.00000	0.99887	0.00057	0.00003	0.00227	0.00226	0.00007	0.99773	0.00226	0.00007	0.00113	0.00057	0.00003	0.99887	0.00057	0.00003	0.00227	0.00226	0.00007	0.00000	0.00000	0.00000
den_26961	82	479446	19063	851	0.17750	1.00000	0.00000	0.00000	0.99911	0.00044	0.00003	0.00177	0.00177	0.00006	0.99823	0.00177	0.00006	0.00089	0.00044	0.00003	0.99911	0.00044	0.00003	0.00177	0.00177	0.00006	0.00000	0.00000	0.00000
ni_14192	249	324280	13013	500	0.15419	1.00000	0.00000	0.00000	0.99923	0.00038	0.00003	0.00154	0.00154	0.00007	0.99846	0.00154	0.00007	0.00077	0.00038	0.00003	0.99923	0.00038	0.00003	0.00154	0.00154	0.00007	0.00000	0.00000	0.00000
ni_14199	434	454105	18168	951	0.20942	1.00000	0.00000	0.00000	0.99895	0.00052	0.00003	0.00209	0.00209	0.00007	0.99791	0.00209	0.00007	0.00105	0.00052	0.00003	0.99895	0.00052	0.00003	0.00209	0.00209	0.00007	0.00000	0.00000	0.00000
aff_18034	188	486101	19350	908	0.18679	1.00000	0.00000	0.00000	0.99907	0.00047	0.00003	0.00187	0.00186	0.00006	0.99813	0.00186	0.00006	0.00093	0.00047	0.00003	0.99907	0.00047	0.00003	0.00187	0.00186	0.00006	0.00000	0.00000	0.00000
aff_18040	250	501211	20004	1147	0.22885	1.00000	0.00000	0.00000	0.99886	0.00057	0.00003	0.00229	0.00228	0.00007	0.99771	0.00228	0.00007	0.00114	0.00057	0.00003	0.99886	0.00057	0.00003	0.00229	0.00228	0.00007	0.00000	0.00000	0.00000
aff_18083	207	497172	19837	1030	0.20717	1.00000	0.00000	0.00000	0.99896	0.00052	0.00003	0.00207	0.00207	0.00006	0.99793	0.00207	0.00006	0.00104	0.00052	0.00003	0.99896	0.00052	0.00003	0.00207	0.00207	0.00006	0.00000	0.00000	0.00000
aff_25550	21	153061	6120	153	0.09996	1.00000	0.00000	0.00000	0.99950	0.00025	0.00004	0.00100	0.00100	0.00008	0.99900	0.00100	0.00008	0.00050	0.00025	0.00004	0.99950	0.00025	0.00004	0.00100	0.00100	0.00008	0.00000	0.00000	0.00000
ni_33030	388	407333	16213	719	0.17651	1.00000	0.00000	0.00000	0.99912	0.00044	0.00003	0.00177	0.00176	0.00007	0.99823	0.00176	0.00007	0.00088	0.00044	0.00003	0.99912	0.00044	0.00003	0.00177	0.00176	0.00007	0.00000	0.00000	0.00000
ni_33060	172	244293	9938	342	0.14000	1.00000	0.00000	0.00000	0.99930	0.00035	0.00004	0.00140	0.00140	0.00008	0.99860	0.00140	0.00008	0.00070	0.00035	0.00004	0.99930	0.00035	0.00004	0.00140	0.00140	0.00008	0.00000	0.00000	0.00000
