# Stacks v2.41;  Phylip interleaved; October 01, 2023
# Locus ID	LocusCnt	Sequence position	Length
2	1	1	96
12	2	97	95
21	3	192	95
29	4	287	95
36	5	382	95
37	6	477	111
40	7	588	99
52	8	687	95
55	9	782	95
57	10	877	99
65	11	976	95
69	12	1071	103
79	13	1174	101
80	14	1275	97
82	15	1372	95
83	16	1467	95
87	17	1562	95
89	18	1657	95
91	19	1752	95
104	20	1847	100
107	21	1947	102
113	22	2049	99
116	23	2148	95
126	24	2243	97
130	25	2340	95
134	26	2435	97
144	27	2532	97
153	28	2629	104
156	29	2733	96
164	30	2829	97
176	31	2926	98
180	32	3024	95
201	33	3119	95
202	34	3214	103
204	35	3317	102
212	36	3419	95
213	37	3514	95
217	38	3609	95
218	39	3704	103
222	40	3807	99
226	41	3906	95
228	42	4001	98
230	43	4099	97
233	44	4196	96
237	45	4292	105
240	46	4397	95
243	47	4492	95
251	48	4587	95
253	49	4682	95
254	50	4777	95
257	51	4872	102
260	52	4974	96
261	53	5070	95
265	54	5165	95
268	55	5260	103
277	56	5363	95
279	57	5458	95
282	58	5553	97
284	59	5650	101
287	60	5751	95
301	61	5846	96
308	62	5942	96
314	63	6038	97
330	64	6135	96
331	65	6231	96
339	66	6327	95
340	67	6422	95
344	68	6517	95
351	69	6612	95
352	70	6707	95
357	71	6802	95
359	72	6897	95
360	73	6992	98
361	74	7090	102
379	75	7192	95
381	76	7287	95
387	77	7382	95
392	78	7477	97
395	79	7574	96
396	80	7670	95
400	81	7765	95
408	82	7860	99
411	83	7959	96
438	84	8055	95
439	85	8150	95
442	86	8245	95
458	87	8340	95
468	88	8435	95
486	89	8530	98
502	90	8628	98
505	91	8726	95
510	92	8821	95
515	93	8916	95
525	94	9011	96
527	95	9107	96
537	96	9203	99
545	97	9302	95
548	98	9397	95
563	99	9492	104
564	100	9596	99
568	101	9695	96
579	102	9791	96
581	103	9887	95
583	104	9982	95
604	105	10077	99
608	106	10176	96
630	107	10272	95
634	108	10367	96
644	109	10463	95
653	110	10558	95
654	111	10653	102
658	112	10755	100
659	113	10855	105
660	114	10960	95
668	115	11055	95
673	116	11150	95
674	117	11245	95
687	118	11340	96
691	119	11436	96
693	120	11532	95
712	121	11627	99
726	122	11726	95
727	123	11821	96
737	124	11917	98
752	125	12015	98
763	126	12113	95
765	127	12208	98
767	128	12306	96
769	129	12402	101
782	130	12503	98
788	131	12601	95
801	132	12696	95
806	133	12791	102
808	134	12893	95
809	135	12988	96
826	136	13084	97
828	137	13181	95
835	138	13276	105
